ԱԱԽ	ɑ ɑ χ ə
ԱԱԾ	ɑ ɑ t͡s ə
ԱԱՇ	ɑ ɑ ʃə
Աբու	ɑ b u
Աբրահամի	ɑ b ɾ ɑ h ɑ m i
Ագահությունն	ɑ ɡ ɑ h u tʰ j u n n
Ագդերում	ɑ z d e ɾ u m
Ագնոստիկ	ɑ ɡ n o s t i k
ագրեսիվ	ɑ ɡ ɾ e s i v
Ադամ	ɑ d ɑ m
Ադդենբրուքի	ɑ d d e n b ɾ u kʰ i
Ադեկոյան	ɑ d e k o j ɑ n
Ադրբեջանի	ɑ d ə ɾ b e d͡ʒ ɑ n i
ադրբեջանցիների	ɑ d ə ɾ b e d͡ʒ ɑ n t͡sʰ i n e ɾ i
Աերոսմիթն	ɑ e ɾ o s m i tʰ n
ազատ	ɑ z ɑ t
ազատագրել	ɑ z ɑ t ɑ ɡ ə ɾ e l
ազատագրել	ɑ z ɑ t ɑ ɡ ɾ e l
ազատագրեցին	ɑ z ɑ t ɑ ɡ ɾ e t͡sʰ i n
ազատագրեցին	ɑ z ɑ t ɑ ɡ ə ɾ e t͡sʰ i n
ազատագրման	ɑ z ɑ t ɑ ɡ ə ɾ m ɑ n
ազատազրկում	ɑ z ɑ t ɑ z ə ɾ k u m
ազատական	ɑ z ɑ t ɑ k ɑ n
ազատություն	ɑ z ɑ t u tʰ j u n
ազատությունը	ɑ z ɑ t u tʰ j u n ə
ազատում	ɑ z ɑ t u m
ազատված	ɑ z ɑ t v ɑ t͡s
ազատվել	ɑ z ɑ t v e l
ազատվեն	ɑ z ɑ t v e n
ազատվի	ɑ z ɑ t v i
ազգ	ɑ z ɡ
ազգաբնակչությանը	ɑ z ɡ ɑ b ə n ɑ k t͡ʃʰ u tʰ j ɑ n ə
Ազգային	ɑ z ɡ ɑ j i n
ազգայնականության	ɑ z ɡ ɑ j n ɑ k ɑ n u tʰ j ɑ n
ազգայնացմանը	ɑ z ɡ ɑ j n ɑ t͡sʰ m ɑ n ə
ազգայնացվել	ɑ z ɡ ɑ j n ɑ t͡sʰ v e l
ազգայնացվելը	ɑ z ɡ ɑ j n ɑ t͡sʰ v e l ə
ազգանունով	ɑ z ɡ ɑ n u n o v
ազգերը	ɑ z ɡ e ɾ ə
Ազգերի	ɑ z ɡ e ɾ i
ազգը	ɑ z ɡ ə
Ազգի	ɑ z ɡ i
ազդակներ	ɑ z d ɑ k n e ɾ
ազդակները	ɑ z d ɑ k n e ɾ ə
ազդանիշներ	ɑ z d ɑ n i ʃ n e ɾ
ազդանշան	ɑ z d ɑ n ə ʃ ɑ n
ազդանշանների	ɑ z d ɑ n ə ʃ ɑ n n e ɾ i
ազդարարելով	ɑ z d ɑ ɾ ɑ ɾ e l o v
ազդարարում	ɑ z d ɑ ɾ ɑ ɾ u m
ազդել	ɑ z d e l
ազդեցությամբ	ɑ z d e t͡sʰ u tʰ j ɑ m b
ազդեցության	ɑ z d e t͡sʰ u tʰ j ɑ n
ազդեցություն	ɑ z d e t͡sʰ u tʰ j u n
ազդեցությունը	ɑ z d e t͡sʰ u tʰ j u n ə
ազդեցությունից	ɑ z d e t͡sʰ u tʰ j u n i t͡sʰ
ազդեցություններ	ɑ z d e t͡sʰ u tʰ j u n n e ɾ
ազդեցությունները	ɑ z d e t͡sʰ u tʰ j u n n e ɾ ə
ազդեցությունների	ɑ z d e t͡sʰ u tʰ j u n n e ɾ i
ազդում	ɑ z d u m
ազնվականների	ɑ z n ə v ɑ k ɑ n n e ɾ i
ազոտը	ɑ z o t ə
ազոտն	ɑ z o t n
Աթենքի	ɑ tʰ e ŋ kʰ i
աթոռին	ɑ tʰ o r i n
աթոռներին	ɑ tʰ o r n e ɾ i n
աթոռներով	ɑ tʰ o r n e ɾ o v
ԱԹՍ	ɑ tʰ ə s ə
Աիտուտակին	ɑ i t u t ɑ k i n
Ալ	ɑ l
Ալբերտ	ɑ l b e ɾ t
Ալբուկերկե	ɑ l b u k e ɾ k e
Ալբուկերկեն	ɑ l b u k e ɾ k e n
Ալդենը	ɑ l d e n ə
Ալդուիչը	ɑ l d u i t͡ʃʰ ə
Ալեիսկ	ɑ l e i s k
ալեհավաքի	ɑ l e h ɑ v ɑ kʰ i
ալեհատը	ɑ l e h ɑ t ə
Ալենն	ɑ l e n n
Ալեսսանդրո	ɑ l e s s ɑ n d ɾ o
ալերգիկ	ɑ l e ɾ ɡ i k
Ալեքս	ɑ l e kʰ s
Ալեքսանդր	ɑ l e kʰ s ɑ n d ə ɾ
Ալեքսանդրի	ɑ l e kʰ s ɑ n d ɾ i
Ալեքսանդրն	ɑ l e kʰ s ɑ n d ə ɾ n
Ալեքսիուի	ɑ l e kʰ s i u i
Ալժիր	ɑ l ʒ i ɾ
Ալի	ɑ l i
ալիքների	ɑ l i kʰ n e ɾ i
ալիքներն	ɑ l i kʰ n e ɾ n
Ալլենի	ɑ l l e n i
ալկալիական	ɑ l k ɑ l i ɑ k ɑ n
ալկոհոլային	ɑ l k o h o l ɑ j i n
Ալյանսն	ɑ l j ɑ n s n
Ալյասկայի	ɑ l j ɑ s k ɑ j i
Ալոնսոյի	ɑ l o n s o j i
Ալոնսոյից	ɑ l o n s o j i t͡sʰ
Ալոնսոն	ɑ l o n s o n
ալպիական	ɑ l p i ɑ k ɑ n
ալպյան	ɑ l p j ɑ n
Ալֆա	ɑ l f ɑ
ախտահարումները	ɑ χ t ɑ h ɑ ɾ u m n e ɾ ə
ախտանիշների	ɑ χ t ɑ n i ʃ n e ɾ i
ախտանշանները	ɑ χ t ɑ n ə ʃ ɑ n n e ɾ ə
ախտանշանների	ɑ χ t ɑ n ə ʃ ɑ n n e ɾ i
ախտանշաններով	ɑ χ t ɑ n ə ʃ ɑ n n e ɾ o v
ախտորոշման	ɑ χ t o ɾ o ʃ m ɑ n
ախտորոշում	ɑ χ t o ɾ o ʃ u m
ախտորոշումներին	ɑ χ t o ɾ o ʃ u m n e ɾ i n
ածականը	ɑ t͡s ɑ k ɑ n ə
ածելիի	ɑ t͡s e l i i
ածխաթթու	ɑ t͡s χ ɑ tʰ ə tʰ u
ածխածին	ɑ t͡s χ ɑ t͡s i n
ածխածնի	ɑ t͡s χ ɑ t͡s n i
ածխի	ɑ t͡s χ i
ակադեմիական	ɑ k ɑ d e m j ɑ k ɑ n
ակադեմիայում	ɑ k ɑ d e m j ɑ j u m
ականատես	ɑ k ɑ n ɑ t e s
ականատեսների	ɑ k ɑ n ɑ t e s n e ɾ i
Ակնալվում	ɑ k n ɑ l v u m
ակնթարթային	ɑ k ə n tʰ ɑ ɾ tʰ ɑ j i n
ակնթարթորեն	ɑ k ə n tʰ ɑ ɾ tʰ o ɾ e n
ակնկալել	ɑ k ə ŋ k ɑ l e l
ակնկալեն	ɑ k ə ŋ k ɑ l e n
ակնկալես	ɑ k ə ŋ k ɑ l e s
ակնկալեք	ɑ k ə ŋ k ɑ l e kʰ
ակնկալում	ɑ k ə ŋ k ɑ l u m
ակնկալվում	ɑ k ə ŋ k ɑ l v u m
ակնհայտ	ɑ k ə n h ɑ j t
ակնհայտորեն	ɑ k ə n h ɑ j t o ɾ e n
Ակնոցները	ɑ k n o t͡sʰ n e ɾ ə
Ակորդեոնի	ɑ k o ɾ d e o n i
ակումբ	ɑ k u m b
ակումբը	ɑ k u m b ə
ակումբի	ɑ k u m b i
ակումբների	ɑ k u m b n e ɾ i
Ակսուն	ɑ k s u n
ակվարիումներ	ɑ k v ɑ ɾ i u m n e ɾ
ակտիվ	ɑ k t i v
ակտիվանում	ɑ k t i v ɑ n u m
ակտիվացրեց	ɑ k t i v ɑ t͡sʰ ɾ e t͡sʰ
ակտիվների	ɑ k t i v n e ɾ i
ակտն	ɑ k t n
ակտով	ɑ k t o v
ահա	ɑ h ɑ
ահաբեկչության	ɑ h ɑ b e k t͡ʃʰ u tʰ j ɑ n
ահաբեկչությանն	ɑ h ɑ b e k t͡ʃʰ u tʰ j ɑ n n
ահաբեկված	ɑ h ɑ b e k v ɑ t͡s
ահավոր	ɑ h ɑ v o ɾ
ահռելի	ɑ h r e l i
աղ	ɑ ʁ
աղաղակող	ɑ ʁ ɑ ʁ ɑ k o ʁ
աղանդավորական	ɑ ʁ ɑ n d ɑ v o ɾ ɑ k ɑ n
աղավաղում	ɑ ʁ ɑ v ɑ ʁ u m
աղավնիների	ɑ ʁ ɑ v n i n e ɾ i
աղբյուր	ɑ χ p j u ɾ
աղբյուրի	ɑ χ p j u ɾ i
աղբյուրն	ɑ χ p j u ɾ n
աղբյուրները	ɑ χ p j u ɾ n e ɾ ə
աղբյուրներն	ɑ χ p j u ɾ n e ɾ n
աղեղը	ɑ ʁ e ʁ ə
աղեղի	ɑ ʁ e ʁ i
Աղեղնավոր	ɑ ʁ e ʁ n ɑ v o ɾ
Աղեղնավորի	ɑ ʁ e ʁ n ɑ v o ɾ i
աղետի	ɑ ʁ e t i
աղետին	ɑ ʁ e t i n
աղիքային	ɑ ʁ i kʰ ɑ j i n
աղմուկ	ɑ ʁ m u k
աղմուկը	ɑ ʁ m u k ə
աղյուսակում	ɑ ʁ j u s ɑ k u m
աղոթքները	ɑ ʁ o tʰ kʰ n e ɾ ə
աղջիկներից	ɑ χ tʃʰ i k n e ɾ i t͡sʰ
աղտոտող	ɑ χ t o t o ʁ
աղտոտված	ɑ χ t o t v ɑ t͡s
աղտոտվածությունը	ɑ χ t o t v ɑ t͡s u tʰ j u n ə
աղքատ	ɑ χ kʰ ɑ t
աղքատությունը	ɑ ʁ kʰ ɑ t u tʰ j u n ə
աճել	ɑ t͡ʃ e l
աճը	ɑ t͡ʃ ə
աճի	ɑ t͡ʃ i
աճող	ɑ t͡ʃ o ʁ
աճում	ɑ t͡ʃ u m
աճուրդային	ɑ t͡ʃ u ɾ d ɑ j i n
Ամազոն	ɑ m ɑ z o n
Ամազոնը	ɑ m ɑ z o n ə
Ամազոնից	ɑ m ɑ z o n i t͡sʰ
ամայի	ɑ m ɑ j i
ամանեղեն	ɑ m ɑ n e ʁ e n
ամանորյա	ɑ m ɑ n o ɾ j ɑ
ամաչելու	ɑ m ɑ t͡ʃʰ e l u
ամաչկոտ	ɑ m ɑ t͡ʃʰ k o t
ամառ	ɑ m ɑ r
ամառային	ɑ m ɑ r ɑ j i n
ամառվա	ɑ m ɑ r v ɑ
ամբ	ɑ m b
ամբարտակը	ɑ m b ɑ ɾ t ɑ k ə
ամբարտակները	ɑ m b ɑ ɾ t ɑ k n e ɾ ə
ամբարտկի	ɑ m b ɑ ɾ t k i
ամբոխի	ɑ m b o χ i
ամբոխն	ɑ m b o χ n
ամբոխով	ɑ m b o χ o v
ամբողջ	ɑ m b o χ t͡ʃʰ
ամբողջական	ɑ m b o χ t͡ʃʰ ɑ k ɑ n
ամբողջացնում	ɑ m b o χ t͡ʃʰ ɑ t͡sʰ n u m
ամբողջովին	ɑ m b o χ t͡ʃʰ o v i n
ամբողջությամբ	ɑ m b o χ t͡ʃʰ u tʰ j ɑ m b
ամեն	ɑ m e n
ամենաահավորն	ɑ m e n ɑ ɑ h ɑ v o ɾ n
ամենաայցելվող	ɑ m e n ɑ ɑ j t͡sʰ e l v o ʁ
ամենաանվտանգ	ɑ m e n ɑ ɑ n v ə t ɑ ŋ ɡ
ամենաարագ	ɑ m e n ɑ ɑ ɾ ɑ ɡ
ամենաարագն	ɑ m e n ɑ ɑ ɾ ɑ ɡ n
ամենաարդյունավետ	ɑ m e n ɑ ɑ ɾ tʰ j u n ɑ v e t
ամենաարևելյան	ɑ m e n ɑ ɑ ɾ e v e l j ɑ n
ամենաարյունոտ	ɑ m e n ɑ ɑ ɾ j u n o t
ամենաբարձր	ɑ m e n ɑ b ɑ ɾ t͡sʰ ə ɾ
ամենագնաց	ɑ m e n ɑ ɡ ə n ɑ t͡sʰ
ամենադաժան	ɑ m e n ɑ d ɑ ʒ ɑ n
ամենադժվար	ɑ m e n ɑ d ə ʒ v ɑ ɾ
ամենաէական	ɑ m e n ɑ e ɑ k ɑ n
ամենաէական	ɑ m e n ɑ e j ɑ k ɑ n
ամենաէժան	ɑ m e n ɑ e ʒ ɑ n
ամենաժամանակակից	ɑ m e n ɑ ʒ ɑ m ɑ n ɑ k ɑ k i t͡sʰ
ամենալայն	ɑ m e n ɑ l ɑ j n
ամենալավ	ɑ m e n ɑ l ɑ v
ամենախոշոր	ɑ m e n ɑ χ o ʃ o ɾ
ամենակարևոր	ɑ m e n ɑ k ɑ ɾ e v o ɾ
ամենակարևորն	ɑ m e n ɑ k ɑ ɾ e v o ɾ n
ամենահամապատասխան	ɑ m e n ɑ h ɑ m ɑ p ɑ t ɑ s χ ɑ n
Ամենահայտնի	ɑ m e n ɑ h ɑ j t n i
ամենահայտնին	ɑ m e n ɑ h ɑ j t n i n
Ամենահայտնիները	ɑ m e n ɑ h ɑ j t n i n e ɾ ə
ամենահաջողակ	ɑ m e n ɑ h ɑ d͡ʒ o ʁ ɑ k
ամենահարգվածներից	ɑ m e n ɑ h ɑ ɾ ɡ v ɑ t͡s n e ɾ i t͡sʰ
ամենահարմար	ɑ m e n ɑ h ɑ ɾ m ɑ ɾ
ամենահարուստ	ɑ m e n ɑ h ɑ ɾ u s t
ամենահեշտ	ɑ m e n ɑ h e ʃ t
ամենահետաքրքիր	ɑ m e n ɑ h e t ɑ kʰ ə ɾ kʰ i ɾ
ամենահզոր	ɑ m e n ɑ h ə z o ɾ
ամենահին	ɑ m e n ɑ h i n
ամենամեծ	ɑ m e n ɑ m e t͡s
ամենամեծերից	ɑ m e n ɑ m e t͡s e ɾ i t͡sʰ
ամենամեծը	ɑ m e n ɑ m e t͡s ə
ամենամեծն	ɑ m e n ɑ m e t͡s n
ամենամյա	ɑ m e n ɑ m j ɑ
ամենամոտը	ɑ m e n ɑ m o t ə
ամենամտերիմ	ɑ m e n ɑ m ə t e ɾ i m
ամենայն	ɑ m e n ɑ j n
ամենայնի	ɑ m e n ɑ j n i
ամենանշանակալից	ɑ m e n ɑ n ə ʃ ɑ n ɑ k ɑ l i t͡sʰ
ամենաշատ	ɑ m e n ɑ ʃ ɑ t
ամենաշատը	ɑ m e n ɑ ʃ ɑ t ə
ամենաշոգ	ɑ m e n ɑ ʃ o kʰ
ամենաշքեղ	ɑ m e n ɑ ʃ ə kʰ e ʁ
ամենաուժգին	ɑ m e n ɑ u ʒ ɡ i n
ամենաուժեղ	ɑ m e n ɑ u ʒ e ʁ
ամենասարսափելի	ɑ m e n ɑ s ɑ ɾ s ɑ pʰ e l i
ամենասիրված	ɑ m e n ɑ s i ɾ v ɑ t͡s
ամենասուր	ɑ m e n ɑ s u ɾ
ամենավաղ	ɑ m e n ɑ v ɑ ʁ
ամենավաճառվող	ɑ m e n ɑ v ɑ t͡ʃ ɑ r v o ʁ
ամենավատ	ɑ m e n ɑ v ɑ t
ամենավերևում	ɑ m e n ɑ v e ɾ e v u m
ամենավերջին	ɑ m e n ɑ v e ɾ t͡ʃʰ i n
ամենավտանգավոր	ɑ m e n ɑ v ə t ɑ ŋ ɡ ɑ v o ɾ
ամենատաղանդավոր	ɑ m e n ɑ t ɑ ʁ ɑ n d ɑ v o ɾ
ամենատարածված	ɑ m e n ɑ t ɑ ɾ ɑ t͡s v ɑ t͡s
ամենատարածվածն	ɑ m e n ɑ t ɑ ɾ ɑ t͡s v ɑ t͡s n
ամենատպավորիչ	ɑ m e n ɑ t ə p ɑ v o ɾ i t͡ʃʰ
ամենացածր	ɑ m e n ɑ t͡sʰ ɑ t͡s ə ɾ
ամենացածր	ɑ m e n ɑ t͡sʰ ɑ t͡s ɾ
ամենացուրտ	ɑ m e n ɑ t͡sʰ u ɾ t
Ամենափոքր	ɑ m e n ɑ pʰ o kʰ ɾ
Ամենափոքր	ɑ m e n ɑ pʰ o kʰ ə ɾ
ամենաքիչ	ɑ m e n ɑ kʰ i t͡ʃʰ
ամենաքիչը	ɑ m e n ɑ kʰ i t͡ʃʰ ə
ամենաքիչն	ɑ m e n ɑ kʰ i t͡ʃʰ n
ամենաքննարկվող	ɑ m e n ɑ kʰ ə n n ɑ ɾ k v o ʁ
ամենևին	ɑ m e n e v i n
ամենը	ɑ m e n ə
ամենի	ɑ m e n i
ամենից	ɑ m e n i t͡sʰ
ամենուր	ɑ m e n u ɾ
ամենօրյա	ɑ m e n o ɾ j ɑ
Ամեսի	ɑ m e s i
Ամերիկայի	ɑ m e ɾ i k ɑ j i
Ամերիկայից	ɑ m e ɾ i k ɑ j i t͡sʰ
Ամերիկայում	ɑ m e ɾ i k ɑ j u m
ամերիկացի	ɑ m e ɾ i k ɑ t͡sʰ i
ամերիկացիներ	ɑ m e ɾ i k ɑ t͡sʰ i n e ɾ
Ամերիկացիները	ɑ m e ɾ i k ɑ t͡sʰ i n e ɾ ə
ամերիկացիների	ɑ m e ɾ i k ɑ t͡sʰ i n e ɾ i
Ամերիկյան	ɑ m e ɾ i k j ɑ n
ամերկացի	ɑ m e ɾ k ɑ t͡sʰ i
ամինաթթուները	ɑ m i n ɑ tʰ ə tʰ u n e ɾ ə
ամինոթթվային	ɑ m i n o tʰ ə tʰ v ɑ j i n
ամիս	ɑ m i s
ամիսը	ɑ m i s ə
ամիսներին	ɑ m i s n e ɾ i n
Ամիր	ɑ m i ɾ
ԱՄՆ	ɑ m ə n ə
ԱՄՆ-ի	ɑ m ə n i
ԱՄՆ-ից	ɑ m ə n i t͡sʰ
ԱՄՆ-ն	ɑ m ə n ə n
ԱՄՆ-ում	ɑ m ə n u m
ԱՄՆ-Չինաստան	ɑ m ə n ə t͡ʃʰ i n ɑ s t ɑ n
ամուսինը	ɑ m u s i n ə
ամուսնացած	ɑ m u s n ɑ t͡sʰ ɑ t͡s
ամուսնացել	ɑ m u s n ɑ t͡sʰ e l
ամուսնության	ɑ m u s n u tʰ j ɑ n
ամուսնությունը	ɑ m u s n u tʰ j u n ə
ամուսնությունից	ɑ m u s n u tʰ j u n i t͡sʰ
ամուսնություններն	ɑ m u s n u tʰ j u n n e ɾ n
ամուր	ɑ m u ɾ
ամպեր	ɑ m p e ɾ
Ամպերը	ɑ m p e ɾ ə
ամպերից	ɑ m p e ɾ i t͡sʰ
ամպի	ɑ m p i
ամպրոպներով	ɑ m p ɾ o p n e ɾ o v
Ամռան	ɑ m r ɑ n
ամռանը	ɑ m r ɑ n ə
ամռանն	ɑ m r ɑ n n
ամսագիրը	ɑ m s ɑ ɡ i ɾ ə
ամսագրերը	ɑ m s ɑ ɡ ə ɾ e ɾ ə
ամսաթիվը	ɑ m s ɑ tʰ i v ə
ամսաթվի	ɑ m s ɑ tʰ ə v i
ամսական	ɑ m s ɑ k ɑ n
ամսին	ɑ m s i n
ամսից	ɑ m s i t͡sʰ
ամսում	ɑ m s u m
ամսվա	ɑ m s v ɑ
ամսվա	ɑ m s ə v ɑ
Ամստերդամ	ɑ m s t e ɾ d ɑ m
Ամստերդամի	ɑ m s t e ɾ d ɑ m i
ամրագրել	ɑ m ɾ ɑ ɡ ə ɾ e l
ամրագրել	ɑ m ɾ ɑ ɡ ɾ e l
ամրագրեք	ɑ m ɾ ɑ ɡ ə ɾ e kʰ
ամրագրեք	ɑ m ɾ ɑ ɡ ɾ e kʰ
ամրագրման	ɑ m ɾ ɑ ɡ ə ɾ m ɑ n
ամրագրում	ɑ m ɾ ɑ ɡ ə ɾ u m
ամրագրում	ɑ m ɾ ɑ ɡ ɾ u m
ամրագրումը	ɑ m ɾ ɑ ɡ ə ɾ u m ə
ամրագրումը	ɑ m ɾ ɑ ɡ ɾ u m ə
ամրագրումից	ɑ m ɾ ɑ ɡ ə ɾ u m i t͡sʰ
ամրագրումից	ɑ m ɾ ɑ ɡ ɾ u m i t͡sʰ
ամրագրումն	ɑ m ɾ ɑ ɡ ə ɾ u m n
ամրագրումն	ɑ m ɾ ɑ ɡ ɾ u m n
ամրագրումներ	ɑ m ɾ ɑ ɡ ə ɾ u m n e ɾ
ամրագրումներ	ɑ m ɾ ɑ ɡ ɾ u m n e ɾ
ամրագրումների	ɑ m ɾ ɑ ɡ ə ɾ u m n e ɾ i
ամրագրումների	ɑ m ɾ ɑ ɡ ɾ u m n e ɾ i
ամրագրված	ɑ m ɾ ɑ ɡ ə ɾ v ɑ t͡s
ամրագրվում	ɑ m ɾ ɑ ɡ ə ɾ v u m
ամրանում	ɑ m ɾ ɑ n u m
ամրապնդող	ɑ m ɾ ɑ p ə n d o ʁ
ամրացնելու	ɑ m ɾ ɑ t͡sʰ n e l u
ամրացված	ɑ m ɾ ɑ t͡sʰ v ɑ t͡s
ամրոց	ɑ m ɾ o t͡sʰ
ամրոցը	ɑ m ɾ o t͡sʰ ə
ամրոցն	ɑ m ɾ o t͡sʰ n
ամրոցներ	ɑ m ɾ o t͡sʰ n e ɾ
ամրություններ	ɑ m ɾ u tʰ j u n n e ɾ
Այաթոլլահ	ɑ j ɑ tʰ o l l ɑ h
Այբուբենը	ɑ j b u b e n ə
